Path in Mister,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
games/kinst/kinst.img,https://archive.org/download/OngoFiles/KillerInstinct/kinst.img,131076608,6d4c2f152c9a18ab3a9b05b8804306a8,Killer Instinct,overwrite:false,
games/kinst2/kinst2.img,https://archive.org/download/OngoFiles/KillerInstinct/kinst2.img,457673216,2563b089b316f2c8636d78af661ac656,Killer Instinct,overwrite:false,
games/mame/kinst.zip,https://archive.org/download/OngoFiles/KillerInstinct/kinst.zip,5843251,4bb48f2ea2091e45b6f14cf3689b7986,Killer Instinct,overwrite:false,
games/mame/kinst2.zip,https://archive.org/download/OngoFiles/KillerInstinct/kinst2.zip,7479079,d20251e2d55f397d210199a632286c65,Killer Instinct,overwrite:false,
games/mame/coh1000c.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/coh1000c.zip,278492,a77a0ea2ab5d8678e6b8ba1304fb6cf5,Zn1,overwrite:false,
games/mame/glpracr.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/glpracr.zip,4418784,b5b2172ed6cf5a89bcb98220f84887c1,Zn1,overwrite:false,
games/mame/qsound_hle.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/qsound_hle.zip,2676,758388893761ea3ff0d820f60344a38e,Zn1,overwrite:false,
games/mame/sfex.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/sfex.zip,10964167,17714cfe220fecfe2e0616e574aa44c6,Zn1,overwrite:false,
games/mame/sfexp.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/sfexp.zip,11240185,8593825de9ed69eb5f2bafa2f8503cab,Zn1,overwrite:false,
games/mame/starglad.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/starglad.zip,11235620,3951217070cfda0e0b7618e12697963f,Zn1,overwrite:false,
games/mame/ts2.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/ts2.zip,12308764,cc4a147c18e650fd2f17286a6263abd6,Zn1,overwrite:false,
games/mame/coh1000c.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/coh1000c.zip,278492,a77a0ea2ab5d8678e6b8ba1304fb6cf5,Zn1,overwrite:false,
games/mame/glpracr.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/glpracr.zip,4418784,b5b2172ed6cf5a89bcb98220f84887c1,Zn1,overwrite:false,
games/mame/qsound_hle.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/qsound_hle.zip,2676,758388893761ea3ff0d820f60344a38e,Zn1,overwrite:false,
games/mame/sfex.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/sfex.zip,10964167,17714cfe220fecfe2e0616e574aa44c6,Zn1,overwrite:false,
games/mame/sfexp.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/sfexp.zip,11240185,8593825de9ed69eb5f2bafa2f8503cab,Zn1,overwrite:false,
games/mame/starglad.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/starglad.zip,11235620,3951217070cfda0e0b7618e12697963f,Zn1,overwrite:false,
games/mame/ts2.zip,https://archive.org/download/OngoFiles/mame-capcomzn1/ts2.zip,12308764,cc4a147c18e650fd2f17286a6263abd6,Zn1,overwrite:false,
games/mame/1on1gov.zip,https://archive.org/download/OngoFiles/mame-zn1/1on1gov.zip,15003910,349d26dacfe90c77b0d691e12c9c9e0f,Zn1,overwrite:false,
games/mame/aerofgts.zip,https://archive.org/download/OngoFiles/mame-zn1/aerofgts.zip,9455407,723f6f8d415c35638c31b2173b613394,Zn1,overwrite:false,
games/mame/beastrzr.zip,https://archive.org/download/OngoFiles/mame-zn1/beastrzr.zip,16282106,5f3bf59eba37a18638ecc8741a3e7ffe,Zn1,overwrite:false,
games/mame/bldyror2.zip,https://archive.org/download/OngoFiles/mame-zn1/bldyror2.zip,19394066,787f84ba6a4bf9e25070e4cdc354b74f,Zn1,overwrite:false,
games/mame/brvblade.zip,https://archive.org/download/OngoFiles/mame-zn1/brvblade.zip,7126542,1e3cf44c3995fc21532d2f3f984c038a,Zn1,overwrite:false,
games/mame/coh1000t.zip,https://archive.org/download/OngoFiles/mame-zn1/coh1000t.zip,126296,cbd902afa92e18d69226d91f567ab88a,Zn1,overwrite:false,
games/mame/coh1001l.zip,https://archive.org/download/OngoFiles/mame-zn1/coh1001l.zip,126207,fcfb400f4d2360002fee1dc5b9e7c2af,Zn1,overwrite:false,
games/mame/coh1002e.zip,https://archive.org/download/OngoFiles/mame-zn1/coh1002e.zip,128648,bd276c601adf0e25424824948e53ca3b,Zn1,overwrite:false,
